[21:05:12.791] Worker-2 | EventoID=0 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0F Payload[1]=64 Payload[2]=71
[21:05:17.649] Worker-3 | EventoID=15 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0F Payload[1]=AD Payload[2]=3D
[21:05:17.834] Worker-2 | EventoID=16 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=70 Payload[1]=8E Payload[2]=69
[21:05:18.129] Worker-0 | EventoID=17 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=7C Payload[1]=D9 Payload[2]=55
[21:05:18.438] Worker-0 | EventoID=18 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=49 Payload[1]=EC Payload[2]=30
[21:05:18.611] Worker-3 | EventoID=19 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=14 Payload[1]=99 Payload[2]=3A
[21:05:19.061] Worker-0 | EventoID=20 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5A Payload[1]=7F Payload[2]=71
[21:05:19.555] Worker-1 | EventoID=21 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=14 Payload[1]=81 Payload[2]=39
[21:05:19.988] Worker-1 | EventoID=22 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C1 Payload[1]=8D Payload[2]=2B
[21:05:20.333] Worker-2 | EventoID=23 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=E5 Payload[1]=E2 Payload[2]=48
[21:05:20.692] Worker-0 | EventoID=24 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=79 Payload[1]=B2 Payload[2]=3F
[21:05:21.065] Worker-1 | EventoID=25 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=BD Payload[1]=D3 Payload[2]=2C
[21:05:21.221] Worker-3 | EventoID=26 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=74 Payload[1]=E2 Payload[2]=25
[21:05:21.669] Worker-0 | EventoID=27 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=08 Payload[1]=47 Payload[2]=66
[21:05:21.793] Worker-1 | EventoID=28 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=DE Payload[1]=EB Payload[2]=52
[21:05:22.164] Worker-2 | EventoID=29 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=A7 Payload[1]=91 Payload[2]=33
[21:05:22.459] Worker-2 | EventoID=30 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EB Payload[1]=D8 Payload[2]=77
[21:05:22.908] Worker-3 | EventoID=31 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=80 Payload[1]=8E Payload[2]=27
[21:05:23.388] Worker-0 | EventoID=32 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=DD Payload[1]=C2 Payload[2]=39
[21:05:23.619] Worker-1 | EventoID=33 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=36 Payload[1]=A2 Payload[2]=40
[21:05:23.960] Worker-1 | EventoID=34 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5F Payload[1]=4C Payload[2]=17
[21:05:24.456] Worker-0 | EventoID=35 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=04 Payload[1]=AB Payload[2]=38
[21:05:24.827] Worker-2 | EventoID=36 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F3 Payload[1]=A0 Payload[2]=46
[21:05:25.106] Worker-0 | EventoID=37 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=10 Payload[1]=53 Payload[2]=5A
[21:05:25.475] Worker-2 | EventoID=38 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=3C Payload[1]=D3 Payload[2]=2F
[21:05:25.816] Worker-1 | EventoID=39 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EF Payload[1]=69 Payload[2]=36
[21:05:26.017] Worker-2 | EventoID=40 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=AC Payload[1]=5B Payload[2]=3D
[21:05:26.203] Worker-2 | EventoID=41 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=33 Payload[1]=4F Payload[2]=75
[21:05:26.481] Worker-3 | EventoID=42 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=25 Payload[1]=B3 Payload[2]=4C
[21:05:26.914] Worker-3 | EventoID=43 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=79 Payload[1]=CE Payload[2]=57
[21:05:27.180] Worker-2 | EventoID=44 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=44 Payload[1]=96 Payload[2]=48
[21:05:27.567] Worker-3 | EventoID=45 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=8C Payload[1]=C4 Payload[2]=45
[21:05:27.906] Worker-0 | EventoID=46 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=78 Payload[1]=E1 Payload[2]=74
[21:05:28.156] Worker-2 | EventoID=47 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=66 Payload[1]=5A Payload[2]=77
[21:05:28.594] Worker-2 | EventoID=48 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=8C Payload[1]=5C Payload[2]=49
[21:05:28.873] Worker-3 | EventoID=49 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=46 Payload[1]=40 Payload[2]=15
[21:05:29.213] Worker-0 | EventoID=50 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=12 Payload[1]=B5 Payload[2]=41
[21:05:29.369] Worker-1 | EventoID=51 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=FD Payload[1]=38 Payload[2]=21
[21:05:29.616] Worker-3 | EventoID=52 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0F Payload[1]=EF Payload[2]=39
[21:05:29.786] Worker-2 | EventoID=53 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=E0 Payload[1]=64 Payload[2]=1E
[21:05:30.288] Worker-0 | EventoID=54 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=96 Payload[1]=5B Payload[2]=3B
[21:05:30.787] Worker-1 | EventoID=55 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=BC Payload[1]=68 Payload[2]=49
[21:05:30.991] Worker-2 | EventoID=56 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=76 Payload[1]=8C Payload[2]=28
[21:05:31.378] Worker-0 | EventoID=57 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=03 Payload[1]=9F Payload[2]=29
[21:05:31.872] Worker-1 | EventoID=58 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EA Payload[1]=7C Payload[2]=43
[21:05:32.245] Worker-0 | EventoID=59 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=8A Payload[1]=4C Payload[2]=30
[21:05:32.619] Worker-2 | EventoID=60 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=29 Payload[1]=79 Payload[2]=25
[21:05:32.944] Worker-2 | EventoID=61 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=52 Payload[1]=76 Payload[2]=27
[21:05:33.364] Worker-2 | EventoID=62 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=83 Payload[1]=AC Payload[2]=49
[21:05:33.581] Worker-2 | EventoID=63 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=6D Payload[1]=BA Payload[2]=72
[21:05:33.987] Worker-0 | EventoID=64 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F7 Payload[1]=B2 Payload[2]=5C
[21:05:34.452] Worker-2 | EventoID=65 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=42 Payload[1]=BB Payload[2]=1C
[21:05:34.810] Worker-1 | EventoID=66 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=A3 Payload[1]=6D Payload[2]=6F
[21:05:35.041] Worker-3 | EventoID=67 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=BD Payload[1]=42 Payload[2]=6C
[21:05:35.395] Worker-0 | EventoID=68 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=78 Payload[1]=E0 Payload[2]=1D
[21:05:35.814] Worker-0 | EventoID=69 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EC Payload[1]=6C Payload[2]=2E
[21:05:36.189] Worker-2 | EventoID=70 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=E0 Payload[1]=7B Payload[2]=5F
[21:05:36.605] Worker-2 | EventoID=71 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=18 Payload[1]=D0 Payload[2]=32
[21:05:36.885] Worker-3 | EventoID=72 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F1 Payload[1]=6B Payload[2]=72
[21:05:37.134] Worker-2 | EventoID=73 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=60 Payload[1]=9E Payload[2]=27
[21:05:37.398] Worker-1 | EventoID=74 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=67 Payload[1]=A1 Payload[2]=53
[21:05:37.705] Worker-1 | EventoID=75 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=98 Payload[1]=F4 Payload[2]=66
[21:05:38.109] Worker-2 | EventoID=76 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=B8 Payload[1]=89 Payload[2]=73
[21:05:38.418] Worker-0 | EventoID=77 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=FD Payload[1]=E1 Payload[2]=70
[21:05:38.589] Worker-3 | EventoID=78 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=40 Payload[1]=85 Payload[2]=53
[21:05:38.776] Worker-1 | EventoID=79 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=82 Payload[1]=A0 Payload[2]=32
[21:05:39.254] Worker-0 | EventoID=80 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=58 Payload[1]=E8 Payload[2]=51
[21:05:39.440] Worker-3 | EventoID=81 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=BE Payload[1]=C6 Payload[2]=67
[21:05:39.610] Worker-2 | EventoID=82 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=93 Payload[1]=38 Payload[2]=53
[21:05:39.871] Worker-3 | EventoID=83 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=40 Payload[1]=49 Payload[2]=66
[21:05:40.135] Worker-2 | EventoID=84 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=37 Payload[1]=B1 Payload[2]=25
[21:05:40.337] Worker-0 | EventoID=85 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D7 Payload[1]=8E Payload[2]=1F
[21:05:40.553] Worker-0 | EventoID=86 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EB Payload[1]=60 Payload[2]=31
[21:05:40.942] Worker-1 | EventoID=87 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=12 Payload[1]=72 Payload[2]=2E
[21:05:41.238] Worker-1 | EventoID=88 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=36 Payload[1]=CD Payload[2]=37
[21:05:41.517] Worker-0 | EventoID=89 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C1 Payload[1]=B4 Payload[2]=4A
[21:05:41.719] Worker-3 | EventoID=90 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=7A Payload[1]=49 Payload[2]=3D
[21:05:42.165] Worker-0 | EventoID=91 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C0 Payload[1]=C5 Payload[2]=33
[21:05:42.493] Worker-0 | EventoID=92 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=98 Payload[1]=6C Payload[2]=4F
[21:05:42.815] Worker-0 | EventoID=93 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D2 Payload[1]=46 Payload[2]=58
[21:05:43.119] Worker-3 | EventoID=94 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5E Payload[1]=91 Payload[2]=64
[21:05:43.609] Worker-2 | EventoID=95 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=13 Payload[1]=63 Payload[2]=6F
[21:05:43.809] Worker-0 | EventoID=96 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=E7 Payload[1]=83 Payload[2]=46
[21:05:44.026] Worker-0 | EventoID=97 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=10 Payload[1]=98 Payload[2]=2E
[21:05:44.180] Worker-3 | EventoID=98 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=22 Payload[1]=4B Payload[2]=46
[21:05:44.506] Worker-3 | EventoID=99 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C4 Payload[1]=37 Payload[2]=2E
[21:05:44.831] Worker-3 | EventoID=100 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=94 Payload[1]=66 Payload[2]=6C
[21:05:44.940] Worker-3 | EventoID=101 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=47 Payload[1]=CA Payload[2]=26
[21:05:45.142] Worker-1 | EventoID=102 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=48 Payload[1]=7F Payload[2]=16
[21:05:45.407] Worker-0 | EventoID=103 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=35 Payload[1]=9E Payload[2]=1E
[21:05:45.904] Worker-1 | EventoID=104 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=9D Payload[1]=C7 Payload[2]=60
[21:05:46.355] Worker-3 | EventoID=105 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=19 Payload[1]=BB Payload[2]=69
[21:05:46.526] Worker-2 | EventoID=106 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=46 Payload[1]=E8 Payload[2]=16
[21:05:46.992] Worker-3 | EventoID=107 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5F Payload[1]=B1 Payload[2]=1E
[21:05:47.363] Worker-0 | EventoID=108 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F4 Payload[1]=F6 Payload[2]=41
[21:05:47.625] Worker-3 | EventoID=109 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=56 Payload[1]=A6 Payload[2]=2C
[21:05:48.090] Worker-1 | EventoID=110 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=4E Payload[1]=96 Payload[2]=3B
[21:05:48.308] Worker-1 | EventoID=111 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=CB Payload[1]=F6 Payload[2]=56
[21:05:48.802] Worker-2 | EventoID=112 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5D Payload[1]=B9 Payload[2]=70
[21:05:49.157] Worker-1 | EventoID=113 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=4C Payload[1]=A3 Payload[2]=1B
[21:05:49.359] Worker-3 | EventoID=114 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=93 Payload[1]=54 Payload[2]=43
[21:05:49.776] Worker-2 | EventoID=115 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=46 Payload[1]=3C Payload[2]=1B
[21:05:49.946] Worker-0 | EventoID=116 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=18 Payload[1]=3D Payload[2]=3A
[21:05:50.208] Worker-2 | EventoID=117 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=A0 Payload[1]=B9 Payload[2]=1F
[21:05:50.378] Worker-0 | EventoID=118 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=08 Payload[1]=75 Payload[2]=53
[21:05:50.753] Worker-2 | EventoID=119 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=CF Payload[1]=D6 Payload[2]=22
[21:05:50.892] Worker-1 | EventoID=120 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=40 Payload[1]=6E Payload[2]=3B
[21:05:51.264] Worker-2 | EventoID=121 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=DE Payload[1]=7B Payload[2]=5F
[21:05:51.514] Worker-3 | EventoID=122 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=AB Payload[1]=BB Payload[2]=4B
[21:05:51.716] Worker-3 | EventoID=123 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D2 Payload[1]=71 Payload[2]=5A
[21:05:51.962] Worker-1 | EventoID=124 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F3 Payload[1]=8C Payload[2]=6A
[21:05:52.227] Worker-0 | EventoID=125 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=CE Payload[1]=C0 Payload[2]=6A
[21:05:52.351] Worker-2 | EventoID=126 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=43 Payload[1]=68 Payload[2]=57
[21:05:52.506] Worker-1 | EventoID=127 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5A Payload[1]=A1 Payload[2]=4D
[21:05:52.938] Worker-1 | EventoID=128 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=74 Payload[1]=BE Payload[2]=4B
[21:05:53.387] Worker-0 | EventoID=129 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=47 Payload[1]=40 Payload[2]=5B
[21:05:53.632] Worker-2 | EventoID=130 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=65 Payload[1]=D0 Payload[2]=26
[21:05:54.033] Worker-0 | EventoID=131 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=01 Payload[1]=A9 Payload[2]=22
[21:05:54.282] Worker-2 | EventoID=132 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=8D Payload[1]=33 Payload[2]=63
[21:05:54.641] Worker-3 | EventoID=133 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C8 Payload[1]=74 Payload[2]=64
[21:05:55.002] Worker-1 | EventoID=134 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=FD Payload[1]=96 Payload[2]=40
[21:05:55.417] Worker-1 | EventoID=135 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EC Payload[1]=32 Payload[2]=1D
[21:05:55.711] Worker-3 | EventoID=136 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=B8 Payload[1]=C7 Payload[2]=70
[21:05:56.036] Worker-3 | EventoID=137 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C5 Payload[1]=BD Payload[2]=1B
[21:05:56.348] Worker-2 | EventoID=138 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=4B Payload[1]=E6 Payload[2]=6D
[21:05:56.827] Worker-1 | EventoID=139 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=F6 Payload[1]=D7 Payload[2]=26
[21:05:57.185] Worker-0 | EventoID=140 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C0 Payload[1]=8B Payload[2]=3D
[21:05:57.465] Worker-1 | EventoID=141 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=3F Payload[1]=D8 Payload[2]=1A
[21:05:57.761] Worker-2 | EventoID=142 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=EB Payload[1]=5C Payload[2]=34
[21:05:57.886] Worker-3 | EventoID=143 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=6A Payload[1]=96 Payload[2]=55
[21:05:58.179] Worker-0 | EventoID=144 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=63 Payload[1]=A8 Payload[2]=72
[21:05:58.287] Worker-0 | EventoID=145 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D7 Payload[1]=E8 Payload[2]=69
[21:05:58.548] Worker-1 | EventoID=146 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=9A Payload[1]=43 Payload[2]=45
[21:05:58.859] Worker-3 | EventoID=147 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=75 Payload[1]=E0 Payload[2]=49
[21:05:58.998] Worker-0 | EventoID=148 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=FB Payload[1]=75 Payload[2]=42
[21:05:59.324] Worker-0 | EventoID=149 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=24 Payload[1]=EC Payload[2]=22
[21:05:59.618] Worker-3 | EventoID=150 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=76 Payload[1]=D8 Payload[2]=3F
[21:06:00.055] Worker-3 | EventoID=151 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5A Payload[1]=65 Payload[2]=46
[21:06:00.473] Worker-2 | EventoID=152 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5E Payload[1]=6F Payload[2]=24
[21:06:00.581] Worker-2 | EventoID=153 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=03 Payload[1]=E3 Payload[2]=6C
[21:06:00.860] Worker-2 | EventoID=154 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=C5 Payload[1]=E0 Payload[2]=15
[21:06:01.326] Worker-3 | EventoID=155 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=68 Payload[1]=A2 Payload[2]=59
[21:06:01.777] Worker-1 | EventoID=156 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=82 Payload[1]=80 Payload[2]=24
[21:06:02.089] Worker-3 | EventoID=157 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=AE Payload[1]=7D Payload[2]=65
[21:06:02.446] Worker-0 | EventoID=158 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=3A Payload[1]=6F Payload[2]=63
[21:06:02.816] Worker-2 | EventoID=159 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=69 Payload[1]=5C Payload[2]=51
[21:06:02.987] Worker-0 | EventoID=160 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=A5 Payload[1]=53 Payload[2]=34
[21:06:03.173] Worker-3 | EventoID=161 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=D1 Payload[1]=5C Payload[2]=2D
[21:06:03.329] Worker-2 | EventoID=162 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=73 Payload[1]=73 Payload[2]=4C
[21:06:03.547] Worker-2 | EventoID=163 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=5D Payload[1]=E2 Payload[2]=6D
[21:06:03.982] Worker-2 | EventoID=164 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=6C Payload[1]=C7 Payload[2]=4B
[21:06:04.185] Worker-0 | EventoID=165 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=98 Payload[1]=B2 Payload[2]=69
[21:06:04.543] Worker-3 | EventoID=166 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=86 Payload[1]=78 Payload[2]=61
[21:06:04.930] Worker-1 | EventoID=167 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=E6 Payload[1]=76 Payload[2]=6F
[21:06:05.333] Worker-1 | EventoID=168 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=0A Payload[1]=3A Payload[2]=15
[21:06:05.783] Worker-0 | EventoID=169 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=CD Payload[1]=BD Payload[2]=61
[21:06:06.202] Worker-1 | EventoID=170 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=7D Payload[1]=CD Payload[2]=50
[21:06:06.621] Worker-1 | EventoID=171 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=05 Payload[1]=94 Payload[2]=27
[21:06:07.121] Worker-2 | EventoID=172 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=64 Payload[1]=F8 Payload[2]=5B
[21:06:07.446] Worker-2 | EventoID=173 | SensorID=0 | Tipo=MOTOR | Priority=ALTA | Payload[0]=21 Payload[1]=59 Payload[2]=50
